Abbey,Q160742
AcademicConference,Q2020153
AcademicJournal,Q737498
AcademicSubject,Q11862829
Activity,Q1914636
Actor,Q33999
AdministrativeRegion,Q3455524
AdultActor,Q488111
Agent,Q24229398
Aircraft,Q11436
Airline,Q46970
Airport,Q1248784
Album,Q482994
Altitude,Q190200
Ambassador,Q121998
AmericanFootballPlayer,Q14128148
AnatomicalStructure,Q4936952
Animal,Q729
Anime,Q1107
Archeologist,Q3621491
Archipelago,Q33837
Archive,Q166118
Artery,Q9655
Artist,Q483501
Asteroid,Q3863
Astronaut,Q11631
AustralianRulesFootballPlayer,Q13414980
Award,Q618779
Band,Q215380
BaseballLeague,Q6631808
BaseballPlayer,Q10871364
BasketballPlayer,Q3665646
Beer,Q44
Biomolecule,Q206229
Bodybuilder,Q15982795
Bone,Q265868
Book,Q571
Boxing,Q32112
Bridge,Q12280
BroadcastNetwork,Q141683
Broadcaster,Q15265344
BrownDwarf,Q101600
Building,Q41176
Cartoon,Q627603
Casino,Q133215
Castle,Q23413
Cat,Q146
Cave,Q35509
Celebrity,Q211236
Cemetery,Q39614
Chancellor,Q373085
ChemicalCompound,Q11173
Church,Q16970
City,Q515
Comic,Q245068
Constellation,Q8928
Contest,Q476300
Country,Q6256
Criminal,Q2159907
CultivatedVariety,Q4886
CyclingRace,Q15091377
Dam,Q12323
Deity,Q178885
Disease,Q12136
Dog,Q25324
Drama,Q25372
Drug,Q8386
Economist,Q188094
Egyptologist,Q1350189
Election,Q40231
Employer,Q3053337
Engineer,Q81096
Entomologist,Q3055126
Enzyme,Q8047
EthnicGroup,Q41710
Eukaryote,Q19088
Event,Q1656682
Factory,Q83405
Family,Q8436
Farmer,Q131512
FashionDesigner,Q3501317
Fencer,Q737498Q13381863
FictionalCharacter,Q95074
FigureSkater,Q13219587
FilmFestival,Q220505
Fish,Q152
Flag,Q14660
Food,Q2095
FormerMunicipality,Q19730508
Galaxy,Q318
Game,Q11410
Garden,Q1107656
Gate,Q53060
Gene,Q7187
GeologicalPeriod,Q392928
GivenName,Q202444
Glacier,Q35666
GolfCourse,Q1048525
GolfPlayer,Q13156709
GolfTournament,Q15061650
GovernmentAgency,Q327333
Governor,Q132050
Grape,Q10978
GridironFootballPlayer,Q14128148
Guitar,Q6607
Guitarist,Q855091
HandballPlayer,Q13365117
HandballTeam,Q10517054
HistoricalPeriod,Q11514315
HistoricalRegion,Q1620908
HockeyTeam,Q4498974
Holiday,Q1445650
Hormone,Q8047
Hospital,Q16917
HotSpring,Q177380
Hotel,Q27686
IceHockeyPlayer,Q11774891
Ideology,Q7257
InformationAppliance,Q1067263
Insect,Q1390
Instrument,Q225829
Intercommunality,Q3153117
Island,Q23442
Journalist,Q1930187
Judge,Q16533
Lake,Q23397
Language,Q315
Language,Q34770
LaunchPad,Q1353183
LawFirm,Q613142
Lawyer,Q40348
LegalCase,Q2334719
Legislature,Q11204
Letter,Q9788
Letter,Q133492
Library,Q7075
Ligament,Q39888
LightNovel,Q747381
Lighthouse,Q39715
Linguist,Q14467526
Locality,Q3257686
Locomotive,Q93301
LunarCrater,Q1348589
Magazine,Q41298
Mammal,Q7377
Manga,Q8274
Manhua,Q754669
Manhwa,Q562214
Marriage,Q8445
Mayor,Q30185
Media,Q340169
Medicine,Q11190
Meeting,Q2761147
MemberOfParliament,Q486839
MetroStation,Q928830
MilitaryUnit,Q176799
Mill,Q44494
Mineral,Q7946
MobilePhone,Q17517
Model,Q4610556
Mollusca,Q25326
Monarch,Q116
Monastery,Q44613
Monument,Q4989906
Mosque,Q32815
Motorcycle,Q34493
Mountain,Q8502
MountainPass,Q133056
MountainRange,Q46831
MovieDirector,Q2526255
Murderer,Q16266334
Muscle,Q7365
Museum,Q33506
MusicDirector,Q1198887
MusicFestival,Q868557
MusicGenre,Q188451
Musical,Q2743
MusicalWork,Q2188189
MythologicalFigure,Q15410431
Name,Q82799
NationalAnthem,Q23691
NaturalRegion,Q1970725
Nerve,Q9620
Newspaper,Q11032
NobelPrize,Q7191
NobleFamily,Q13417114
Non-ProfitOrganisation,Q163740
Novel,Q8261
NuclearPowerStation,Q134447
Ocean,Q9430
Opera,Q1344
Organ,Q1444
Organisation,Q43229
OverseasDepartment,Q202216
Painter,Q1028181
Parliament,Q35749
PeriodicalLiterature,Q1092563
Person,Q215627
Person,Q5
Philosopher,Q4964182
Photographer,Q33231
Planet,Q634
Plant,Q756
Play,Q25379
PlayWright,Q214917
Poem,Q5185279
Poet,Q49757
PoliticalParty,Q7278
Politician,Q82955
Polyhedron,Q172937
Pope,Q19546
Population,Q33829
Port,Q44782
PowerStation,Q159719
Prefecture,Q515716
Presenter,Q13590141
President,Q30461
Priest,Q42603
Prison,Q40357
Producer,Q3282637
Profession,Q28640
ProgrammingLanguage,Q9143
ProtectedArea,Q473972
Protein,Q8054
Psychologist,Q212980
PublicService,Q161837
Pyramid,Q12516
RaceTrack,Q1777138
Racecourse,Q1777138
RacingDriver,Q378622
RadioHost,Q2722764
RadioProgram,Q1555508
RailwayLine,Q728937
RailwayStation,Q55488
RailwayTunnel,Q1311958
RallyDriver,Q10842936
RecordLabel,Q18127
Region,Q3455524
Religious,Q2566598
ReligiousBuilding,Q1370598
ResearchProject,Q1298668
Restaurant,Q11707
River,Q4022
Road,Q34442
RoadTunnel,Q2354973
Rocket,Q41291
RomanEmperor,Q842606
Rower,Q13382576
RugbyLeague,Q10962
RugbyPlayer,Q13415036
Saint,Q43115
Sales,Q194189
School,Q3914
Scientist,Q901
ScreenWriter,Q28389
SerialKiller,Q484188
Settlement,Q486972
Ship,Q11446
ShoppingMall,Q11315
Shrine,Q697295
Singer,Q177220
Single,Q134556
SiteOfSpecialScientificInterest,Q422211
Skater,Q847400
SkiResort,Q130003
Skier,Q4270517
Skyscraper,Q11303
SoccerClub,Q476028
SoccerManager,Q628099
SoccerPlayer,Q937857
Software,Q7397
SolarEclipse,Q3887
SongWriter,Q753110
SpaceMission,Q2133344
SpaceShuttle,Q48806
SpaceStation,Q25956
Spacecraft,Q40218
Sport,Q349
SportsLeague,Q623109
Square,Q174782
SquashPlayer,Q16278103
Station,Q719456
Statistic,Q1949963
Stream,Q47521
Street,Q79007
Surfer,Q13561328
Swimmer,Q10843402
Synagogue,Q34627
TableTennisPlayer,Q13382519
Tax,Q8161
Taxon,Q16521
TelevisionHost,Q947873
TelevisionShow,Q15416
TennisPlayer,Q10833314
TennisTournament,Q13219666
TermOfOffice,Q524572
Theatre,Q24354
TheatreDirector,Q3387717
Tournament,Q500834
Tower,Q12518
Town,Q3957
TradeUnion,Q178790
Train,Q870
Treadmill,Q683267
Tunnel,Q44377
University,Q3918
Valley,Q39816
Vein,Q9609
VicePresident,Q42178
VideoGame,Q7889
Village,Q532
Volcano,Q8072
VolleyballPlayer,Q15117302
WaterRide,Q2870166
WaterTower,Q274153
Watermill,Q185187
Weapon,Q728
WindMotor,Q15854792
Windmill,Q38720
Wine,Q282
Winery,Q156362
Work,Q386724
WorldHeritageSite,Q9259
Wrestler,Q13474373
Writer,Q36180
Year,Q577
Zoo,Q43501
Place,Q17334923
Publisher,Q2085381
Genre,Q483394
Type,Q217594
Agglomeration,Q393217
AmateurBoxer,Q2066131
AmericanFootballCoach,Q41583
AmericanFootballTeam,Q17156793
AmusementParkAttraction,Q1144661
ArcherPlayer,Q2066131
ArchitecturalStructure,Q811979
Arena,Q641226
Aristocrat,Q2478141
Arrondissement,Q30059
ArtisticGenre,Q1792379
Athlete,Q2066131
AthleticsPlayer,Q2066131
Attack,Q81672
AustralianFootballTeam,Q17374546
AutoRacingLeague,Q500834
BackScene,Q2972150
BadmintonPlayer,Q13141064
BaseballSeason,Q1539532
BaseballTeam,Q13027888
BasketballLeague,Q18536323
BasketballTeam,Q13393265
BeachVolleyballPlayer,Q17361156
BeautyQueen,Property:P1346
Biathlete,Q16029547
BiologicalDatabase,Q4117139
BloodVessel,Q988343
BobsleighAthlete,Q2066131
BowlingLeague,Q4951251
Boxer,Q11338576
BoxingCategory,Q1326107
BoxingLeague,Q500834
BoxingStyle,Q32112
BullFighter,Q3419806
BusCompany,Q10438042
BusinessPerson,Q43845
CanadianFootballPlayer,Q19841381
CanadianFootballTeam,Q17271186
Canoeist,Q13382566
Canton,Q23058
Cape,Q185113
CapitalOfRegion,Q5119
CareerStation,Q282049
Case,Q22006459
Caterer,Q28869945
